table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,coupang_registration_attempts,5,request_payload,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,coupang_registration_attempts,6,response_status,integer,pg_catalog,int4,null,32,0,YES,null,NO,null
public,coupang_registration_attempts,7,response_payload,jsonb,pg_catalog,jsonb,null,null,null,YES,null,NO,null
public,coupang_registration_attempts,8,success,boolean,pg_catalog,bool,null,null,null,NO,false,NO,null
public,coupang_registration_attempts,9,error_message,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_registration_attempts,10,duration_ms,integer,pg_catalog,int4,null,32,0,YES,null,NO,null
public,coupang_registration_attempts,11,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,coupang_registration_jobs,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,coupang_registration_jobs,2,workflow_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,coupang_registration_jobs,3,listing_draft_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,coupang_registration_jobs,4,job_code,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,coupang_registration_jobs,5,status,text,pg_catalog,text,null,null,null,NO,'queued'::text,NO,null
public,coupang_registration_jobs,6,mode,text,pg_catalog,text,null,null,null,NO,'validate'::text,NO,null
public,coupang_registration_jobs,7,payload_snapshot,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,coupang_registration_jobs,8,validation_issues,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,coupang_registration_jobs,9,seller_product_id,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,10,vendor_item_ids,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,coupang_registration_jobs,11,coupang_status,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,12,registration_response,jsonb,pg_catalog,jsonb,null,null,null,YES,null,NO,null
