schema_name,table_name,index_name,definition
public,marketplace_connections,marketplace_connections_pkey,CREATE UNIQUE INDEX marketplace_connections_pkey ON public.marketplace_connections USING btree (id)
public,marketplace_connections,marketplace_connections_status_idx,"CREATE INDEX marketplace_connections_status_idx ON public.marketplace_connections USING btree (status, marketplace_code)"
public,os_command_runs,os_command_runs_pkey,CREATE UNIQUE INDEX os_command_runs_pkey ON public.os_command_runs USING btree (id)
public,os_command_runs,os_command_runs_queue_idx,"CREATE INDEX os_command_runs_queue_idx ON public.os_command_runs USING btree (status, created_at DESC)"
public,os_command_runs,os_command_runs_worker_idx,"CREATE INDEX os_command_runs_worker_idx ON public.os_command_runs USING btree (assigned_worker_code, created_at DESC)"
public,os_notifications,os_notifications_pkey,CREATE UNIQUE INDEX os_notifications_pkey ON public.os_notifications USING btree (id)
public,os_notifications,os_notifications_unread_idx,"CREATE INDEX os_notifications_unread_idx ON public.os_notifications USING btree (is_read, created_at DESC)"
public,procurement_orders,idx_procurement_orders_status,"CREATE INDEX idx_procurement_orders_status ON public.procurement_orders USING btree (status, created_at DESC)"
public,procurement_orders,procurement_orders_order_number_key,CREATE UNIQUE INDEX procurement_orders_order_number_key ON public.procurement_orders USING btree (order_number)
public,procurement_orders,procurement_orders_pkey,CREATE UNIQUE INDEX procurement_orders_pkey ON public.procurement_orders USING btree (id)
public,products,products_ai_score_idx,CREATE INDEX products_ai_score_idx ON public.products USING btree (ai_score DESC)
public,products,products_competition_grade_score_idx,"CREATE INDEX products_competition_grade_score_idx ON public.products USING btree (competition_grade, competition_score DESC)"
public,products,products_competition_score_idx,CREATE INDEX products_competition_score_idx ON public.products USING btree (competition_score DESC)
public,products,products_competition_status_idx,"CREATE INDEX products_competition_status_idx ON public.products USING btree (competition_analysis_status, updated_at DESC)"
public,products,products_is_favorite_idx,CREATE INDEX products_is_favorite_idx ON public.products USING btree (is_favorite)
public,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
public,products,products_product_no_key,CREATE UNIQUE INDEX products_product_no_key ON public.products USING btree (product_no)
public,products,products_review_status_idx,CREATE INDEX products_review_status_idx ON public.products USING btree (review_status)
public,products,products_updated_at_idx,CREATE INDEX products_updated_at_idx ON public.products USING btree (updated_at DESC)
public,profit_snapshots,profit_snapshots_pkey,CREATE UNIQUE INDEX profit_snapshots_pkey ON public.profit_snapshots USING btree (id)
public,profit_snapshots,profit_snapshots_snapshot_date_key,CREATE UNIQUE INDEX profit_snapshots_snapshot_date_key ON public.profit_snapshots USING btree (snapshot_date)
